[[-0.8322070187205292, -0.34346069973506854], 0]
[[-0.6194355494469946, -1.0644058863537673], 0]
[[-0.044395041970496325, 0.26698872246332994], 0]
[[0.01526734503926833, -0.5134272480871915], 0]
[[-0.03896997377370357, -0.5752289609579582], 0]
[[-0.020439928110988433, 0.39209466891126815], 0]
[[-0.009309083059041517, -0.642803180717464], 0]
[[0.19609107362323594, -1.0049620922799973], 0]
[[0.36517424504252205, -0.039093448268141553], 0]
[[1.2542016072060584, 0.8822268157847828], 0]
[[0.06673986028763668, -0.6126092679817782], 0]
[[0.3314523117107564, -0.46542225649289237], 0]
[[-0.39142806529948804, -0.4597022241421449], 0]
[[0.23762137079947226, 0.6041002745789326], 0]
[[-0.6691592338433918, -0.5296929053824929], 0]
[[1.0529082868718875, 0.237232573560577], 0]
[[0.059516368029636925, 0.8666988105117293], 0]
[[0.11564579912114, -0.527582643239591], 0]
[[0.3520659998824041, 0.34458434727711257], 0]
[[-0.9958979134057543, 0.3129350514580477], 0]
[[0.024784533066439095, -0.6722320279797229], 0]
[[-0.14846464650571706, 0.5403181241205363], 0]
[[-0.4584397537101441, 0.12913641625814473], 0]
[[-0.17778830141692828, 0.7353270338097389], 0]
[[-0.5609362121167413, 0.7653162587782506], 0]
[[0.6628533111029392, 0.3968155551563094], 0]
[[-0.41613661716299777, -0.289601476216107], 0]
[[-0.6448516031691589, 0.22000276528368434], 0]
[[-1.07620942197755, 0.39143622059940886], 0]
[[-0.26370254298524415, 0.8961214482814854], 0]
[[-0.13099403092173423, -0.41549353219570434], 0]
[[0.732123130132372, 0.4460087293521032], 0]
[[0.5485996199074353, 0.9435060652931025], 0]
[[-0.23786201571844953, -0.7329415879241236], 0]
[[0.47361980860085656, -0.6420355890100838], 0]
[[0.13336560322980553, 0.12049821534128975], 0]
[[-0.9533909489083741, 0.5309169475939756], 0]
[[-0.09626711625157308, 0.6077871946210429], 0]
[[0.010428777230580555, 0.4143595459364271], 0]
[[-0.07684655982684602, 1.025985279488899], 0]
[[-0.9561790935299748, -0.32134661404701337], 0]
[[-0.7305264190481514, 0.16971634124405505], 0]
[[0.5215971917456219, 0.039991324452349264], 0]
[[-0.03874464445112429, -0.8029955275701262], 0]
[[-0.10982990284610468, 0.44073281064519454], 0]
